                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9572,                 6.2929,                 4.1462,                0.00045,                0.03643,                 0.0011,                0.00044,                 2.0017,                 6.7467,                 4.0594,             1.5659e-05,             1.5659e-05,             1.5659e-05
                      2,                 2.9337,                 6.2739,                 4.0672,                0.00203,                0.05237,                0.00269,                0.00078,                 1.9973,                 6.7702,                 3.9174,             3.1015e-05,             3.1015e-05,             3.1015e-05
                      3,                 2.8715,                 6.2387,                 3.9539,                0.00157,                0.02432,                0.00293,                0.00105,                 2.0112,                 6.5667,                 3.9707,             4.6062e-05,             4.6062e-05,             4.6062e-05
                      4,                 2.8441,                  6.194,                 3.8448,                0.00153,                0.04444,                0.00294,                0.00109,                 2.0298,                 6.6084,                 3.6817,             4.5604e-05,             4.5604e-05,             4.5604e-05
                      5,                 2.7373,                 6.1443,                 3.7211,                0.00257,                0.05811,                0.00293,                0.00129,                 2.0721,                 6.5382,                  3.553,             4.5139e-05,             4.5139e-05,             4.5139e-05
                      6,                 2.6883,                 6.1173,                 3.6195,                0.00274,                0.08488,                0.00487,                0.00102,                 2.1237,                 6.6989,                 3.5213,             4.4673e-05,             4.4673e-05,             4.4673e-05
                      7,                 2.5535,                 6.0609,                 3.4821,                0.00042,                0.06457,                0.00123,                0.00033,                 2.1752,                 6.7089,                 3.5779,             4.4208e-05,             4.4208e-05,             4.4208e-05
                      8,                 2.4546,                 6.0043,                 3.3801,                0.00128,                0.11639,                0.00687,                0.00188,                 2.1401,                 6.7092,                 3.4936,             4.3743e-05,             4.3743e-05,             4.3743e-05
                      9,                 2.3237,                 5.9468,                 3.2513,                0.63926,                 0.0041,                0.00868,                0.00492,                 2.0927,                 6.5869,                 3.4306,             4.3278e-05,             4.3278e-05,             4.3278e-05
                     10,                 2.2441,                 5.9023,                 3.1586,                0.00221,                0.19791,                0.00547,                0.00191,                 2.0514,                 6.9154,                 3.3284,             4.2812e-05,             4.2812e-05,             4.2812e-05
                     11,                  2.152,                 5.8047,                 3.0848,                0.54351,                0.01111,                0.00816,                0.00324,                 2.0945,                 6.8157,                 3.3786,             4.2347e-05,             4.2347e-05,             4.2347e-05
                     12,                 2.0761,                 5.7136,                 2.9862,                0.00209,                0.26302,                0.00921,                0.00259,                 2.1874,                 11.587,                 3.4165,             4.1882e-05,             4.1882e-05,             4.1882e-05
                     13,                 2.0234,                  5.658,                 2.9204,                0.00251,                0.32805,                0.00944,                0.00309,                 2.1724,                 16.456,                 3.3456,             4.1416e-05,             4.1416e-05,             4.1416e-05
                     14,                 1.9179,                 5.5492,                 2.8241,                0.00292,                0.44372,                0.01442,                0.00627,                 2.0374,                 30.748,                 3.2775,             4.0951e-05,             4.0951e-05,             4.0951e-05
                     15,                 1.8372,                 5.4716,                 2.7395,                0.00356,                0.54399,                0.01801,                0.00966,                 1.8553,                 64.954,                 3.2552,             4.0486e-05,             4.0486e-05,             4.0486e-05
                     16,                 1.7559,                 5.3705,                 2.6432,                0.00511,                0.56284,                0.02345,                0.01213,                 1.8961,                 55.671,                 3.2619,             4.0021e-05,             4.0021e-05,             4.0021e-05
                     17,                 1.6753,                 5.2688,                  2.562,                0.33991,                0.19356,                0.01947,                 0.0127,                 1.6293,                 52.693,                 2.8871,             3.9555e-05,             3.9555e-05,             3.9555e-05
                     18,                 1.6292,                 5.2359,                 2.4941,                 0.0045,                0.66339,                0.01892,                 0.0132,                 1.4918,                 41.426,                 2.6618,              3.909e-05,              3.909e-05,              3.909e-05
                     19,                 1.5477,                 5.1461,                 2.4182,                0.00497,                0.71876,                0.02185,                 0.0157,                 1.4388,                   44.5,                 2.5967,             3.8625e-05,             3.8625e-05,             3.8625e-05
                     20,                 1.4996,                 5.0534,                 2.3445,                0.00486,                0.72596,                0.02315,                0.01748,                 1.3011,                 68.778,                 2.5435,             3.8159e-05,             3.8159e-05,             3.8159e-05
                     21,                 1.4455,                 4.9857,                 2.2852,                0.00625,                0.74335,                0.02787,                0.02078,                 1.2336,                 59.675,                 2.3573,             3.7694e-05,             3.7694e-05,             3.7694e-05
                     22,                 1.4027,                 4.9129,                 2.2344,                0.00595,                0.80519,                0.02977,                0.02409,                 1.0749,                 61.249,                 2.0566,             3.7229e-05,             3.7229e-05,             3.7229e-05
                     23,                 1.3837,                 4.8176,                 2.1974,                0.00614,                0.81084,                0.03019,                 0.0237,                 1.0693,                 90.644,                 2.0183,             3.6763e-05,             3.6763e-05,             3.6763e-05
